,Dataset.Name,Added.By,X.Description..include..sample.type..environment.species..and.comparison.variable..,Sample.Size,Minor.Group.Size,Seq..Tech.,X16S.variable.region,Aitch..PER..R2,Aitch..PER..P,Median.unrarified.depth,Rarefaction.depth,Pipeline.Name,Paper.doi,Raw.data,Metadata.File.Name,Metadata.File.md5sum,ASV.Table.File.Name,ASV.Table.md5sum,ASV.Table.Rarified.Name,ASV.Table.Rarified.md5sum,Genus.Table.File.Name,Genus.Table.md5sum,Genus.Table.Rarified.Name,Genus.Table.Rarified.md5sum,X16S.sequence.fasta.Name,X16S.sequence.fasta.md5sum,Completed.Filter.ASV.Pipeline,Completed.Filter.Genus.Pipeline,Completed.non.Filter.ASV,log(Sample size),Aitchson's Dist. Effect Size,log(Aitch. dist. effect size),Sparsity,Richness,log(Max read depth),log(Read depth range),Read depth variation,% below prev. cut-off
Human - CC (1),crc_baxter,Gavin,Stool samples from colorectal cancer patients vs controls,263,117,MiSeq,V4,NA,NA,11930,2021,Duvallet et al. 2017 USEARCH pipeline,10.1186/s13073-016-0290-3,SRA study SRP062005,crc_baxter_metadata.tsv,2f8baf1df7f0ec50ce98a24c556cf7f5,crc_baxter_ASVs_table.tsv,fb0894c57d50d28d42943ca8b222d3b7,crc_baxter_ASVs_table_rare.tsv,4ffb027cba07473ab75bab376fdf80fb,crc_baxter_genus_table.tsv,8ec21814fa4f271f300128dfc65b7ce0,crc_baxter_genus_table_rare.tsv,94a919d81b02f16ce8ae2e5c60cf462f,NA,NA,Yes,Yes,Run,5.57215403217776,0.0055765718073815,-5.18918106282939,0.957170283270272,670,9.38681151509196,11.75574614551,0.915174938260787,93.4774344213327
Human - CC (2),crc_zeller,Gavin,Stool samples from colorectal cancer patients vs controls,116,41,MiSeq,V4,NA,NA,120989,28042,Duvallet et al. 2017 USEARCH pipeline,10.15252/msb.20145645,ENA study PRJEB6070,crc_zeller_metadata.tsv,dc998f0a61bb9bede74097972c100dca,crc_zeller_ASVs_table.tsv,223ef5c23f4f5a13129d755593a657ff,crc_zeller_ASVs_table_rare.tsv,4973650f0704c8e2acfa49979b2fc10e,crc_zeller_genus_table.tsv,9c147b27f974d2e2e5ee75a8af093e4c,crc_zeller_genus_table_rare.tsv,9298b006fd7018c200b334453db5315a,NA,NA,Yes,Yes,Run,4.75359019110636,0.0163081745890095,-4.1160887883546,0.897387018103771,3898.5,11.7034549113555,12.7819582169673,0.600750706164134,71.5479605837595
Human - Inf.,edd_singh,Gavin,Stool samples from patients with enteric infections vs healthy family members,203,54,454,V3-V5,NA,NA,3377,2006,Duvallet et al. 2017 USEARCH pipeline,10.1186/s40168-015-0109-2,http://dx.doi.org/10.6084/m9.figshare.1447256,edd_singh_metadata.tsv,1dfdb4d221ad5a260c4024f29665f084,edd_singh_ASVs_table.tsv,e7002ee358e565c206878dfc576a5d61,edd_singh_ASVs_table_rare.tsv,49b969f75d997c435703739723a33754,edd_singh_genus_table.tsv,4a7c1d9a82e63854bf1934e576c9faab,edd_singh_genus_table_rare.tsv,71c9e44e396d0ee8337afc437868438b,NA,NA,Yes,Yes,Run,5.31320597904179,0.0608740763961222,-2.7989478698321,0.920716484204407,94,8.12474302038557,9.05157907959124,0.458874425732341,82.9803328290469
Human - HIV (1),hiv_dinh,Gavin,Stool samples from chronic HIV patients vs uninfected controls,30,11,454,V3-V5,NA,NA,3295,2170,Duvallet et al. 2017 USEARCH pipeline,10.1093/infdis/jiu409,SRA study SRP039076,hiv_dinh_metadata.tsv,7c20376ce694f3f93ecb6d36dfecdc92,hiv_dinh_ASVs_table.tsv,10827a3885d77cb119329fd2ee7251f6,hiv_dinh_ASVs_table_rare.tsv,7f425ccc088f51df95d5d114c891d152,hiv_dinh_genus_table.tsv,d2e8e25a9be231667fcca845a5234781,hiv_dinh_genus_table_rare.tsv,c371ede9f03e1934eccd86483549125e,NA,NA,Yes,Yes,Run,3.40119738166216,0.0346830390485636,-3.36150449975106,0.834653988378236,206.5,8.10016144693661,9.14066869872686,0.54732644729383,50.7131537242472
Human - HIV (2),hiv_lozupone,Gavin,Stool samples from HIV patients vs uninfected controls,27,5,MiSeq,V4,NA,NA,3566,2220,Duvallet et al. 2017 USEARCH pipeline,10.1016/j.chom.2013.08.006,ENA study PRJEB4335,hiv_lozupone_metadata.tsv,04e16729a567ffab8336bec39d57e792,hiv_lozupone_ASVs_table.tsv,5fba4b19998174fbb33634c5ee94f0c1,hiv_lozupone_ASVs_table_rare.tsv,5b1dd975a28e57aca842ebdaa4a14a79,hiv_lozupone_genus_table.tsv,9d735c1499f529599c561eb95610c3b9,hiv_lozupone_genus_table_rare.tsv,76cbe52ee95ac4f07bb408b447b9cef3,NA,NA,Yes,Yes,Run,3.29583686600433,0.060723774609126,-2.80141998364496,0.779828271177752,220,8.17919979842309,10.1430554822645,0.987083955334957,38.7543252595156
Human - HIV (3),hiv_noguerajulian,Gavin,Stool samples from HIV patients vs uninfected controls,170,28,MiSeq,V3-V4,NA,NA,27689.5,2012,Duvallet et al. 2017 USEARCH pipeline,10.1016/j.ebiom.2016.01.032,SRA study SRP068240,hiv_noguerajulian_metadata.tsv,581ec94e944b8114c62eecf834d97f17,hiv_noguerajulian_ASVs_table.tsv,b65f6c4f23e961c7605d0e3aafccb8ce,hiv_noguerajulian_ASVs_table_rare.tsv,295a6dcdf741ce428b60b760be844a6b,hiv_noguerajulian_genus_table.tsv,c6579bd98acd464cd64c75904c442332,hiv_noguerajulian_genus_table_rare.tsv,a2baa10be0de123ad3bf9a1b2300451b,NA,NA,Yes,Yes,Run,5.13579843705026,0.0149218759182206,-4.20492696032588,0.914504994982853,1128,10.2288085589417,12.3426250951631,1.016989102903,78.8175652531342
Human - CD (2),ibd_gevers,Gavin,Multiple gut sampletypes from treatment-naïve pediatric Crohn's disease patients and control subjects,154,15,Miseq,V4,NA,NA,10014.5,2071,Duvallet et al. 2017 USEARCH pipeline,10.1016/j.chom.2014.02.005,SRA study SRP040765,ibd_gevers_metadata.tsv,fc2a20f5eaca015383ad954e686178a9,ibd_gevers_ASVs_table.tsv,dfbeaa634491b42ac7589d3250f743d3,ibd_gevers_ASVs_table_rare.tsv,d9263131af5565bdfcbc50252bdfcfba,ibd_gevers_genus_table.tsv,5c86536cd91a76ba4e6573abe709fc0f,ibd_gevers_genus_table_rare.tsv,9808f22a7ba1cf1485441df0197bc307,NA,NA,Yes,Yes,Run,5.03695260241363,0.0149578304895623,-4.20252033770351,0.904827359615382,853.5,9.21178932174129,10.9208174765845,0.722573157336734,71.6276311888527
Human - IBD,ibd_papa,Gavin,Stool samples from inflammatory bowel disease patients vs controls,24,7,454,V3-V5,NA,NA,4471,2089,Duvallet et al. 2017 USEARCH pipeline,10.1371/journal.pone.0039242,Duvallet et al. 2017 emailed authors,ibd_papa_metadata.tsv,97dc018c14ebecdf40dd233434160e9e,ibd_papa_ASVs_table.tsv,eb7addfce7da64c316560b0c437ce0c2,ibd_papa_ASVs_table_rare.tsv,f2e0303f8ee6ab0a14a0a4d86627e1f9,ibd_papa_genus_table.tsv,48904739fe42d6e0a063c2391026723f,ibd_papa_genus_table_rare.tsv,5bb756f5968b1851836e320fa27fd907,NA,NA,Yes,Yes,Run,3.17805383034795,0.0608473718284121,-2.79938665146883,0.854482445912683,348.5,8.40536737623398,8.39049553837028,0.293638838297592,60.5518849591916
Human - OB (1),ob_goodrich,Gavin,Stool samples from dizygotic and monozygotic twins from the TwinsUK cohort. Particular focus on non-obese vs obese individuals,613,185,Miseq,V4,NA,NA,27077,3433,Duvallet et al. 2017 USEARCH pipeline,10.1016/j.cell.2014.09.053,ENA studies PRJEB6702 and PRJEB6705,ob_goodrich_metadata.tsv,4195be0785f9f5c20e0c80e10ce6bf2f,ob_goodrich_ASVs_table.tsv,8bb724c44cce17bf5e5bd4208ae2420b,ob_goodrich_ASVs_table_rare.tsv,ec7fb3b7a58aaed2617f029706a83b7c,ob_goodrich_genus_table.tsv,28d8db1ff324ce8f1e986479e82abac9,ob_goodrich_genus_table_rare.tsv,a3a3edc1bdb25e46e44d29964e62586d,NA,NA,Yes,Yes,SKIP,6.41836493593621,0.00448856604165553,-5.40622199535109,0.95884729206599,2241,10.2064399380238,11.4337956737949,0.461889990573419,92.3397183903938
Human - OB (2),ob_ross,Gavin,Stool samples from subjects within a community with varying health conditions,52,21,454,V1-V3,NA,NA,5038.5,2017,Duvallet et al. 2017 USEARCH pipeline,10.1186/s40168-015-0072-y,SRA study SRP053023,ob_ross_metadata.tsv,d9ee0b87a4e69ea4b5d22bd36f2eab47,ob_ross_ASVs_table.tsv,7f59f81e748a023b3eade6449f4f2cfb,ob_ross_ASVs_table_rare.tsv,79dd1486ea00f11336f88e0cd7101724,ob_ross_genus_table.tsv,4f7b0b115c4a97648484d8351b3e7110,ob_ross_genus_table_rare.tsv,34bc7b82dd312065949e018ff6695c0f,NA,NA,Yes,Yes,Run,3.95124371858143,0.0185682894609536,-3.98630002089446,0.819281923396637,205.5,8.52486369772046,9.49167735686812,0.486676866808986,50.0415627597672
Human - OB (3),ob_turnbaugh,Gavin,Stool samples from dizygotic and monozygotic twins with a particular focus on non-obese vs obese individuals,78,23,454,V2,NA,NA,2831,2008,Duvallet et al. 2017 USEARCH pipeline,10.1038/nature07540,https://gordonlab.wustl.edu/NatureTwins_2008/TurnbaughNature_11_30_08.html,ob_turnbaugh_metadata.tsv,309fa9cb403e36f851ed257fd3785a63,ob_turnbaugh_ASVs_table.tsv,6386d315b51cfff298f4e5b444779b77,ob_turnbaugh_ASVs_table_rare.tsv,8d033b9febe3635878f48be11b9eb749,ob_turnbaugh_genus_table.tsv,41752b04eab3dea5d721b1278697cb8c,ob_turnbaugh_genus_table_rare.tsv,c4d211c3f146eb09d470bd03cf7537f5,NA,NA,Yes,Yes,Run,4.35670882668959,0.0260430642537702,-3.64800379368895,0.901505901505901,544.5,7.9483852851119,9.85712942855798,0.83536351551336,73.8831615120275
Human - OB (4),ob_zhu,Gavin,"Stool samples from nonalcoholic steatohepatitis, obese, and control individuals. Subset chosen for comparison was obese vs control subjects",41,16,454,V4,NA,NA,9778,2196,Duvallet et al. 2017 USEARCH pipeline,10.1002/hep.26093,"MG-RAST, study mgp1195",ob_zhu_metadata.tsv,4569d3edc1772466fd43d23a71408892,ob_zhu_ASVs_table.tsv,ae25f3b795f42550561affd9a88cf867,ob_zhu_ASVs_table_rare.tsv,643b151069c55e83eec6fb6f199077ac,ob_zhu_genus_table.tsv,27eb7abf4c988089c3abe6aed2c4900d,ob_zhu_genus_table_rare.tsv,3e08d9ae59079825f57a224282d06cc7,NA,NA,Yes,Yes,Run,3.71357206670431,0.0627735887772468,-2.76822085484038,0.844463421996128,544,9.18789024313859,9.5719232522675,0.368345295526736,56.5952309085421
Human - Par.,par_scheperjans,Gavin,Stool samples from Parkinson's disease vs control subjects,108,53,454,V1-V3,NA,NA,2476.5,2023,Duvallet et al. 2017 USEARCH pipeline,10.1002/mds.26069,ENA study PRJEB4927,par_scheperjans_metadata.tsv,1c636e1871d4c390a52517e84762fd82,par_scheperjans_ASVs_table.tsv,800503fe4e220c91cf57eedf14d9766e,par_scheperjans_ASVs_table_rare.tsv,76f552535c520e8983cfda6c46749fa5,par_scheperjans_genus_table.tsv,82fe8bb662633d656a53f471d9ff8f48,par_scheperjans_genus_table_rare.tsv,444dbd9c379c4e77b648189db39671b5,NA,NA,Yes,Yes,Run,4.68213122712422,0.0116310509030206,-4.45407695513919,0.914417080310551,248.5,7.81460155202829,7.82883452758809,0.203428918043164,78.0756013745705
Human - T1D (1),t1d_alkanani,Gavin,Stool samples from Type 1 diabetes vs control subjects,102,50,MiSeq,V4,NA,NA,9885,2060,Duvallet et al. 2017 USEARCH pipeline,10.2337/db14-1847,Duvallet et al. 2017 emailed authors,t1d_alkanani_metadata.tsv,044d99b764bf76f76ba9484459360ee4,t1d_alkanani_ASVs_table.tsv,b81c5e86b0b4ba9547415a59082d0f0f,t1d_alkanani_ASVs_table_rare.tsv,0e055422b4e0df3959e161df1d3e8faa,t1d_alkanani_genus_table.tsv,1b4150a1131694ecdb28b5369b6a9c44,t1d_alkanani_genus_table_rare.tsv,8627b1f5b6f3e76c0db4682d2c25c29d,NA,NA,Yes,Yes,Run,4.62497281328427,0.0138413204515799,-4.28009692499255,0.95059163704835,3193,9.19877373560472,11.454957311615,1.12704974198559,99.3173201516533
Human - T1D (2),t1d_mejialeon,Gavin,Stool samples from Type 1 diabetes vs control subjects,28,8,454,V4,NA,NA,4702.5,2202,Duvallet et al. 2017 USEARCH pipeline,10.1038/srep03814,Duvallet et al. 2017 emailed authors,t1d_mejialeon_metadata.tsv,cbbb052c0be6d9dd775a9f60096f3b71,t1d_mejialeon_ASVs_table.tsv,a5fe769d350a77b4c1987c62b93ad90d,t1d_mejialeon_ASVs_table_rare.tsv,ba47e0eb5dcff9519495f4c3cc212caf,t1d_mejialeon_genus_table.tsv,89c4eefe41c3ed1ed360e95cc05e8f83,t1d_mejialeon_genus_table_rare.tsv,1943f725d5403e2f46ce70ef0eba08c5,NA,NA,Yes,Yes,Run,3.3322045101752,0.0663230678240696,-2.71321751132283,0.732799599699775,153,8.45584956117519,8.98117874833641,0.400473645017466,30.4728546409807
WWSR - Continents,GWMC_ASIA_NA,Nicole,waste water sludge reactor samples from asia vs. north america,865,248,MiSeq,V4,NA,NA,35206,25600,Wu et al. 2019,10.1038/s41564-019-0426-5,SRA PRJNA509305,GWMC_ASIA_NA_metadata.csv,6da956a9c46bd1fd14485a7470fcc8c3,GWMC_ASIA_NA_ASVs_table.tsv,3a52dee4e4aac034d9b5c12f6c5fe13c,GWMC_ASIA_NA_ASVs_table_rare.tsv,84d0c6a03d6812644cd40bcd12d16b85,GWMC_ASIA_NA_genus_table.tsv,d7fb68715fe13e7ed5643953f7d2a6b6,GWMC_ASIA_NA_genus_table_rare.tsv,8d6eddbb9f9c98c8094f3f4dfa7b62db,GWMC_ASVs.fasta,45b7d1562b086699d4dd2a73c37f7a01,Yes,Yes,SKIP,6.76157276880406,0.05394252312387,-2.91983618587455,0.967494284760818,2818,10.4689718016059,12.6920295912072,0.647496955894165,91.8520181889631
WWSR - Temp.,GWMC_HOT_COLD,Nicole,"waste water sludge reactor samples from hot (30 N to 30 S) and cold (30 N and up, 30 S and down)",1021,223,MiSeq,V4,NA,NA,36791,25600,Wu et al. 2019,10.1038/s41564-019-0426-5,SRA PRJNA509305,GWMC_HOT_COLD_metadata.csv,4c85ce7e171fec0aecdc67c2c1b7c5dc,GWMC_HOT_COLD_ASVs_table.tsv,032a3c52e0d504a6db8c3f0cc5441095,GWMC_HOT_COLD_ASVs_table_rare.tsv,5aa16491f458e1b5866bf64ed8c288ec,GWMC_HOT_COLD_genus_table.tsv,287225916768385c321b8688a5abfec4,GWMC_HOT_COLD_genus_table_rare.tsv,925bfda08eb3fe91893518322089f6cd,GWMC_ASVs.fasta,45b7d1562b086699d4dd2a73c37f7a01,Yes,Yes,SKIP,6.92853781816467,0.0218820845319328,-3.82208703485426,0.96960263275249,2755,10.5130085290287,12.695305821226,0.593437371283741,92.3018474697697
Marine - Sediment,sw_sed_detender,Robyn,Marine seawater vs sediment samples from the Belgian North Sea,78,18,MiSeq,V3-V4,NA,NA,25624,2000,Deblur,10.1021/acs.est.5b01093,SRA SRA233339,sw_sed_detender_metadata.tsv,a845335880a82d739662e090ebf06609,sw_sed_detender_ASVs_table.tsv,1ae1769dba473a4e7a34356e7ffa5b34,sw_sed_detender_ASVs_table_rare.tsv,5237868549895a67db91ae028729cae7,sw_sed_detender_genus_table.tsv,e09ab9516d21c12bdc40bf1aae463359,sw_sed_detender_genus_table_rare.tsv,5f82916a411ff2de8ed5a5daf9d1fb28,sw_sed_detender_ASVs.fasta,b3af4f6d20994e601d885517dff4b941,Yes,Yes,Run,4.35670882668959,0.233368291916124,-1.45513742133144,0.915360045418656,551,10.151284691289,12.3413637389726,0.941025386912675,79.105033026328
Marine - Plastic (1),sw_plastic_frere,Robyn,"Marine plastic vs seawater samples from the Bay of Brest, Northern Atlantic",59,12,MiSeq,V4-V5,NA,NA,75591,2000,Deblur,10.1016/j.envpol.2018.07.023,VAMPS portal LQM_MPLA_Bv4v5,sw_plastic_frere_metadata.tsv,7a5726c5032db814669fbefd80117ce1,sw_plastic_frere_ASVs_table.tsv,5c4aa44b2db38bacf12f7479585ab45d,sw_plastic_frere_ASVs_table_rare.tsv,01240b4a5c030db63034c491ce8b24c9,sw_plastic_frere_genus_table.tsv,90d2f630d22c3e8f7c9877b8f456c796,sw_plastic_frere_genus_table_rare.tsv,d0974ea65c91a41e99f8fa80d39235ac,sw_plastic_frere_ASVs.fasta,d4036f426f9b0d159a8f9062f3ca78d0,Still Running,Still Running,SKIP,4.07753744390572,0.0975763278489827,-2.3271203575122,0.909365607716604,1903,11.2330925074618,12.2629821395033,0.413653534862149,75.9317782794081
Marine - Plastic (2),sed_plastic_hoellein,Robyn,River plastic vs sediment samples from the North Shore Channel of Lake Michigan,31,12,MiSeq,V4,NA,NA,16664,2000,Deblur,10.1086/693012,SRA SRP077684,sed_plastic_hoellein_metadata.tsv,7e35c006555bc332b49cea2e89a93fa1,sed_plastic_hoellein_ASVs_table.tsv,d42661b3a562a683c96d9eaceb297873,sed_plastic_hoellein_ASVs_table_rare.tsv,95ac22d68ab828f0811f27e42e6c92bf,sed_plastic_hoellein_genus_table.tsv,9834a6eef3f3b62c3bb6e8e62d16ef23,sed_plastic_hoellein_genus_table_rare.tsv,8fa904746da2d1a4db69565afec7b1be,sed_plastic_hoellein_ASVs.fasta,8d1b256988890785f5b9981edd5a8768,Yes,Yes,Run,3.43398720448515,0.0960070521610969,-2.34333363020093,0.840343671602691,1304,9.72100598294081,9.87544809550488,0.229603808475843,61.899518238128
Marine - Plastic (3),wood_plastic_kesy,Robyn,Marine plastic vs wood samples in the Baltic Sea,72,24,MiSeq,V4,NA,NA,34990,2000,Deblur,10.3389/fmicb.2019.01665,SRA PRJNA506548,wood_plastic_kesy_metadata.tsv,6d925af5db18f4e7117572a34b16b92c,wood_plastic_kesy_ASVs_table.tsv,94f516322657a6185edb5675edf0957f,wood_plastic_kesy_ASVs_table_rare.tsv,e951338ca72964df1c47771565ccd87d,wood_plastic_kesy_genus_table.tsv,df12cd0ab37f3f243c7b6f9dd3feae0a,wood_plastic_kesy_genus_table_rare.tsv,c82d1bf85120ed27be37df6714d01392,wood_plastic_kesy_ASVs.fasta,fb4ce9d836f3f7bcb45f59862b9b2a79,Yes,No,Run,4.27666611901606,0.0413541034229947,-3.18558362608792,0.875835324261625,396,10.4628175853617,11.4065755711503,0.464782052481046,74.2910564038641
